Sentence,Claim,Article
Wir haben schon 2015 mit der Fachagentur Windenergie an Land eine Broschüre herausgegeben zur Abstandsfrage.,False,
"Natürlich für einige auch noch der visuelle Eindruck, der ja aber mehr eine Geschmackssache ist, stört mich das oder nicht.",False,
"Solange, ganz wichtig, die Immissionsschutzrichtlinien tatsächlich eingehalten werden.",False,
"Sie beschäftigen sich genau mit diesen Förderregimes und hat die Bundesregierung 2017 Ausschreibungen für Windenergie und Photovoltaik Freiflächeneinlagen eingeführt und wir sehen ja, dass es sich danach zumindest bei der Windenergie nicht so entwickelt hat, wie man 7 sich damals versprochen hat.",True,
"Gerade bei Wind haben wir keine besonders guten Erfahrungen mit dem effektiven Zubau, und da, wo wir auch mit Sicherheit davon ausgehen können, ist, dass es auch in Bezug auf die auktionierten Preise kein wirklicher Fortschritt ist.",True,
"Hier ist ein ganz massives Problem, das wir erwarten müssen, dass viele der auktionierten Ausschreibungen im Bereich Windenergie onshore eben nicht umgesetzt werden oder zu anderen Bedingungen oder nochmal die Ausschreibung reingehen, was auch immer.",True,
"Heißt, nochmal in die Ausschreibung reingehen, dass Leute, die eigentlich schon eine Genehmigung haben, sich nochmal bewerben, weil der Preis passt?",False,
"Und bei Photovoltaik scheint es wohl so zu sein, dass die Anlagen auktioniert werden, auch recht zügig gebaut werden.",True,
"Es gibt nämlich fast einen Zusammenbruch der Windenergie, weil es von den Bürgern weggenommen wurde.",True,
"Wir haben dann analysieren können, dass es tatsächlich auch zum Beispiel bei 33 Dezibel einzelne Menschen, das sind unter zehn Prozent, das waren nachher sechs Prozent maximal, die gelegentlich Symptome hatten wie Konzentrationsstörungen.",True,
"Ich glaube, das Bewusstsein für Klima und die Schäden, die durch die Klimaänderungen auftreten, das ist ja definitiv da und man kann es auch nutzen.",True,
Er ist Direktor des Instituts für Virologie an der Philipps-Universität in Marburg und ist Koordinator und stellvertretender Standortsprecher für das Deutsche Zentrum für Infektionsforschung in Braunschweig.,False,
"Es geht ja bei Virusinfektionen und bei jeder dieser Fragestellungen, ob bei Ebola oder Zika, immer dieser Kampf hin und her: Sind es jetzt die T-Zellen, also die zelluläre Immunantwort, die die große Rolle spielen, oder sind es die Antikörper, die hier die große Rolle spielen -- auch später dann, wenn man an eine Impfstoffproduktion denkt.",True,
"Ich denke, hier wird das bei dem SARS-Coronavirus nicht viel anders sein.",False,
"Und diese Dunkelziffer der komplett unbemerkten asymptomatischen Infektionen, die schwankt ja wirklich von Studie zu Studie.",True,
Und zwar sind nicht nachweisbare Antikörper ja auch nicht direkt gleichzusetzen mit einer nicht vorhandenen Immunität.,True,
"Nur weil keine Antikörper nachzuweisen sind, heißt das ja nicht, dass jemand die Infektion oder das Virus nicht doch gesehen hat und dass vielleicht die Immunität trotzdem besteht.",True,
Bei einer asymptomatischen Infektion wird die Immunantwort möglicherweise deutlich geringer sein.,True,
"Es wird gefragt: Wie viele Menschen müssen denn so eine Infektion durchlaufen, um die Herdenimmunität zu erreichen?",False,
"Eine langfristige Herdenimmunität würde sowieso voraussetzen, dass auch das, was Herr Sander für Masern beschrieben hat, für das neue SARS-Coronavirus gelten würde: Nämlich, dass (man), wenn man einmal sich damit infiziert hat, (über) einen längeren Zeitraum hinweg auch wirklich Immunität aufgebaut hat.",True,
"Hat sich die Datenlage dahingehend verändert, dass man das jetzt besser einschätzen kann?",False,
Aber das hängt natürlich wiederum von bestimmten Faktoren ab.,False,
"Es gibt ja auch Virusinfektionen, wo eine präexistierende Immunität, die aber nicht hundertprozentig trifft, auch gefährlich sein kann.",True,
"Hier kommt eine Nachfrage zu der Menge an Antikörpern, die nach einer Infektion gebildet werden.",False,
"Auf jeden Fall scheint es so zu sein, dass die, die symptomatisch erkranken, einen höheren Antikörpertiter haben als die asymptomatischen.",True,
Oder kann ein Kontakt mit dem Erreger auch ohne nennenswerte Virusvermehrung im Körper einen messbaren Antikörpertiter verursachen?,False,
Oder ist das unter Umständen genau andersherum?,False,
"Angesichts dieser unglaublichen Menge an verschiedenen Impfstoffprojekten, die weltweit gemacht wird -- ich glaube, wir sind jetzt bei über 200, die gezählt werden von der WHO, also es ist wirklich unglaublich -- ich bin ganz sicher, dass da irgendeiner dabei ist, der wirklich hilft und der schützt.",True,
"Also in dem unwahrscheinlichen Fall, dass eine Immunantwort, die gegen das Spike-Protein gerichtet ist, nicht schützt, hat man ein Problem.",True,
"15 Liebe Experten, vielen Dank, dass Sie sich die Zeit heute genommen haben, um dieses doch sehr große Feld der Immunität zu beleuchten.",False,
Sie haben sich in Ihrer Studie ja noch einmal ge-nauer die T-Zell-Immunantwort nach einer mRNA-Impfung angeschaut.,False,
"Und wir sehen eben, dass die T-Zellen sehr früh nach der ersten Impfung schon induziert werden und im Blut eben nachweisbar sind und dass die auch schon voll funktional sind, also wirklich auch dann schützen können.",True,
"Die Ergebnisse von der Studie nicht, weil die jetzt wirklich rein auf die Impfkohorte eben sich be-schränkt hat.",False,
"Aber dass wir bestimmte Bevölkerungsgruppen haben, wo wir ohnehin etwas reduzierten Schutz hatten und jetzt im Licht der Variante vielleicht auch nicht mehr ganz hinreichenden, das ist noch nicht auf harten Daten basierend, aber auf ersten Beobachtungen, könnte einen dazu veranlassen zu sa-gen: Wir boostern jetzt mal.",True,
"Also was würde man da ansetzen zu sagen: Ja, dieser Mensch hat jetzt den und den Schutzstatus?",False,
"Ich glaube, es ist total wichtig, dass wir früh verstehen: Bildet sich ein Memory Pool und fin-den wir da vielleicht Marker, die gut korrelieren und können vielleicht uns dann auch irgendwann zurückziehen mit Booster-Impfungen und Ähnlichem.",True,
"Aber ich kann mir vorstellen, dass die AstraZeneca-Impfstoffe gut für die Titer-Antworten sind und dass, falls eine Infektion stattfindet, der Körper eben sehr schnell die T-Zell-Gedächtniszellen wieder initiieren kann und dass dann wieder ein Schutz vor Erkrankungen, vor schweren Verläufen ist.",True,
"Wobei, was Frau Dahlke auch schon angesprochen hat, andere Beobachtungen der Daten schon zeigen, dass die Vektor-Impfstoffe, also grad auch AstraZeneca, dass die gut die T-Zellen eben induzieren, aber eben reduzierte Level an den Antikörper haben.",True,
"Und ich glaube aber, dass man das auf anderen Ebenen sicher auch noch mal adressieren muss, dass die Impfstoffe jetzt auch sehr offensiv und aggressiv auch in die Gegenden kommen, in denen jetzt noch sehr, sehr wenig geimpft wird, wo wir absehbar auch wie-der Probleme bekommen werden mit Ausbrüchen und dann gegebenenfalls auch wieder mit Vari-anten.",True,
"(…) Ich denke, dass die Ärzte, die Hausärzte und so weiter da die ansprechen müssen und dass es jetzt kommuniziert werden sollte, dass die ein Risiko haben, mit der Delta-Variante jetzt verstärkt Durchbruchinfektionen zu haben und dass diese auch ein Risiko haben, wieder in Krankenhäuser zu kommen.",True,
"Aber kann man irgendwie ableiten, wie gut denn die Immunantwort von den Geimpften auch gegen Delta wirken kann, könnte?",False,
"Und das ist eben das, was die Impfungen leis-ten können.",False,
"Gerne reihum, bei mir ist es Frau Dahlke oben rechts, vielleicht möchten Sie anfangen.",False,
"Also, was so dringend fehlt ist ein Korrelat für Protektion gegen Krankheit zum Beispiel, dass man messen kann: Wir haben Antikörper mit dem Wert 2, sagen wir mal, und den müssen wir erreichen, um zu schützen, und den gibt es nicht.",True,
"Und in Bezug auf die Booster-Impfung: Ich gehe auch davon aus, dass wir boostern müssen.",True,
"Aber einfach basierend auch auf den an-deren Erfahrungen mit Impfstoffen gehe ich davon aus, dass es Booster-Impfungen geben wird.",True,
"Können Sie da vielleicht nochmal erzählen, was Sie da für Erkenntnisse bekommen haben aus dieser Studie und welche weiteren wichtigen Faktoren Sie da entschlüsseln konnten mit dieser Modellierung?",False,
"Aber was wir klar gesehen haben, ist, dass wenn es gelingt, die Bevölkerung mitzuneh-men und solche Maßnahmen über längere Zeit hinweg beizubehalten,  dass das effektiver sein kann im Vergleich zu einem Lockdown, der eine Zeitlang da ist und dann wieder aufgehoben wird und dass man zum Beispiel so eine zweite Welle damit auch verhindern kann, wenn es gelingt, die Bevölkerung dazu zu bringen, diese Maßnahmen über lange Zeit hinweg konsequent durchzufüh-ren.",True,
"Und wenn man dann noch verhindern kann, dass viele Infektio-nen aus der jungen Bevölkerung auf die älteren Gruppen überspringen und sich dort weiter beson-ders auch unter gefährdeten Personen ausbreiten, kann man diese Infektionssterblichkeit reduzie-ren.",True,
"Aber die Gefahr be-steht natürlich, je hier stärker die Fallzahlen ansteigen, dieser Schutz der gefährdeten Bevölkerung nicht mehr gewährleistet werden kann, dass daneben beispielsweise ja auch wieder Angestellte des Virus in die Alters-und Pflegeheime bringen, dass über eine Ausbreitung in den Schulen, die Infektion zu den Eltern kommt und dann vielleicht auch wieder zu den Großeltern.",True,
"Und das ist jetzt auch ein Problem mit den Lockerungsmaßnahmen, dadurch verändern sich auch die Kontaktstruk-turen wieder.",True,
"Andererseits muss man sagen, dass gerade die asymptomatischen Infektionen dazu führen können, dass da ein Bindeglied fehlt.",True,
"Das erfordert einfach einen wahnsinnigen Arbeitseinsatz, also sehr viel Zeit, um diese Kontaktpersonen zu finden und zu kontaktieren und zu monitoren.",True,
"Wie si-cher sind denn mittlerweile die Kernparameter der Infektion selbst, also die Krankheitsparameter, vor allen Dingen eben der Zeitraum der Infektiosität und damit auch das serielle Intervall, was ja sehr wichtig ist für Contact Tracing Strategien, zu wissen, wer wann wen ansteckt und ansteckend ist.",False,
"Das heißt, der Beitrag der asymptomatischen Infektionen, die Länge der Infektiosität, die Infektiosität in den unterschied-lichen Altersgruppen, eine individuelle Variation in der Infektiosität.",True,
"Daran anknüpfend, Herr Althaus, an Sie eine Nachfrage zum seriellen Intervall.",False,
Wann stecken sich infizierte Menschen denn nun irgendwie an?,False,
"In den Niederlanden ist die Zeitspanne jetzt auf zehn Tage verkürzt worden, weil man weiß, dass die Infektiosität sehr zurückgeht im Laufe der Infektion.",True,
"Es stimmt, aber hier geht es das Vorgehen bei Verdachtspersonen.",False,
"Ich glaube, dass es eine wichtige Aufgabe ist diese Aufhebung der Einzelmaßnahmen besser zu verstehen, also was ist der Beitrag zum Beispiel von Schulen, was ist der Beitrag von Restaurants, Bars, was ist der Beitrag von diesen verschiedenen Typen von Kontakten, die man hat und was kön-nen wir machen, was können wir nicht machen, um da wirklich die Einzelheiten zu verstehen.",True,
"Ich danke der Runde hier, vielen Dank, dass Sie sich die Zeit genommen haben, mit uns darüber zu diskutieren.",False,
Ich möchte gern beginnen mit Frau Professor Dr. Stefanie Dimmeler; sie ist Direktorin am Institut für kardiovaskuläre Regeneration der Goethe-Universität Frankfurt am Main.,False,
"Es ist beschrieben worden, dass TMPRSS2, das ist eine Protease, den Virus co-aktiviert und notwendig ist für die Aufnahme.",True,
"Und ich glaube, dass ein fast genauso wichtiges Augenmerk, das wir jetzt legen auf die Versorgung von COVID-Patienten, müssen wir legen auf die Qualität der Versorgung von nicht-COVID-Patienten, weil das natürlich eine wichtige Zuteilung ist von Ressourcen und Logistik, die wir im Auge behalten müssen.",True,
Es ist ein ganz klarer Rat.,False,
"Und eine Hypothese, die als Erklärung für diese Beobachtung herangezogen wird, ist tatsächlich das, was ich Ihnen gerade gesagt habe, dass ACE-Hemmer eine Prognoseverbesserung bringen, durch Verbesserung kardiovaskulärer Erkrankung und dass das Raum gibt, für spätere Tumorerkrankungen.",True,
Ich habe noch eine Frage an Frau Dimmeler oder vielleicht auch an einen von Ihnen beiden?,False,
"Eine Erklärung, die ich für unwahrscheinlich halte, auch wenn sie formal noch nicht wirklich ausgeschlossen ist, ist, dass der Virus schützt vor Herzinfarkt.",True,
"Das, was ich eher befürchte ist, dass die Patienten entweder selbst entscheiden, sie haben zwar Thoraxschmerzen, Brustschmerzen, wollen aber nicht ins Krankenhaus, weil sie Angst haben, sich zu infizieren.",True,
"Das heißt, die ganz wichtige Botschaft an Patienten: Alle Symptome von akutem möglicherweise Herzinfarkt, Notruf wählen, ins Krankenhaus gehen.",True,
"Und da ist jetzt hier die Frage, dass es da auch Nebenwirkungen im Herzbereich gäbe, nämlich Herzrhythmusstörungen als Folge einer Chloroquintherapie.",True,
Vielleicht an Herrn Eschenhagen: Ist das zu empfehlen?,False,
"Man kann daraus nicht schließen, dass jetzt alle Schnelltests, die auf dem Markt sind, sich für den Selbsttest eignen.",True,
"Die Genauigkeit, das ist klar und da hat ja das Paul-Ehrlich-Institut mittlerweile klare Vorgaben.",True,
"Ich habe beim Lesen den Eindruck gewonnen, dass zwischen den Zeilen steht, dass die Schnelltests an manchen Stellen zwar helfen könnten, dass sie aber die PCR-Tests natürlich generell überhaupt nicht ersetzen und auch nur in gewissen Kontexten sinnvoll eingesetzt werden können.",True,
"Insofern muss man, wie Herr Klein das auch gesagt hat, sich sehr gut überlegen, in welchem Setting man diese Tests einsetzt, man muss sehr intelligent vorgehen, man muss wahrscheinlich auch wiederholt testen, um eben diese Zeitfenster auch bei Personen richtig zu erwischen, dass man Infektionswahrscheinlichkeiten abbilden kann.",True,
Deswegen werden ja auch die entsprechenden Schutzmaßnahmen getroffen.,False,
"Und wenn bald alle testen dürfen, sobald sie zertifiziert sind, wer sollte sie verwenden können?",False,
"Im Moment ist ja eher die Hypothese, dass die Menge der Viruspartikel, die sie brauchen, um eine Infektion zu setzen, geringer ist als bei der Wildtyp-Variante.",True,
"Und das heißt, dass wir auch dem Gesundheitsamt dann sehr schnell sagen können, im Prinzip einen Tag nach dem positiven Ergebnis, ab und zu ist es auch noch am gleichen Tag, dass es sich dort eine Variante handelt und dass hier wirklich besondere Vorsichtsmaßnahmen geboten sind.",True,
Es wird mittlerweile schon vielerorts gemacht.,False,
Halten Sie die Angabe der Menge durchgeführter Antigen-Tests auch für sinnvoll für die Bewertung des Infektionsgeschehen oder reichen eigentlich die PCR-Ergebnisse aus?,False,
"Ich bedanke ich mich bei Ihnen dreien ganz herzlich dafür, dass Sie hier die ganzen Fragen beantwortet haben.",False,
"Ich danke auch den Journalist*innen, dass Sie so zahlreich Fragen gestellt haben.",False,
Und kurz vor den ersten Zulassungen der EU und ersten Impfungen bei Hoch-Risikogruppen wollen wir daher noch einmal wichtige Fragen so Impfstoffen mit Fachleuten beantworten und Raum geben für Ihre Fragen.,False,
"Es gibt einige RNA-Impfstoffe, die so ein bisschen die Nase vorne haben vor den Vektor-Impfstoffen und auf die hatte auch Europa stark gesetzt, was die Mengen der bestellten Impfstoffe angeht.",True,
"Die Frage nach sequentiellen Impfungen mit verschiedenen Impfstoffen, das natürlich in keiner Studie getestet.",True,
"Ob sie, wenn sie beispielsweise schon eine eine gute und wirksame Immunität durch einen mRNA-Impfstoff aufgebaut haben, dann nochmal mehr erreichen können durch eine weitere Impfung, das weiß ich nicht, das wird auch nicht getestet sein.",True,
"Hier ist nochmal eine Frage, die ich auch ganz interessant fand.",False,
"Ich glaube, das ist wichtig, sich klarzumachen, dass die mRNA-Impfstoffte anscheinend eine relativ hohe Reaktogenität haben, dass man gewisse Nebenwirkungen wie bei einem ganz leichten viralen Infekt hat und dass diese, so zeigen es die Daten zumindest vom Biontech-Impfstoff, dann sehr transient sind: ein Tag, vielleicht so am zweiten Tag nach der Impfung für diese allgemeinen Symptome, wie ein bisschen Kopfschmerzen, können auch Gliederschmerzen machen.",True,
"Und solche Personen werden natürlich nicht in klinischen Studien eingeschlossen gesunde, bei jedem Medikament, was sie geben, bei einer Person, die eine Neigung zu einer schweren allergischen Reaktion hat, das kann auch ein Antibiotikum sein, da müssen sie aufpassen, das genau abfragen, Bei jeder Impfung, das ist sehr selten, kann es zu allergischen Reaktionen kommen, wie auch bei Nahrungsmitteln und wie auf anderen Medikamenten.",True,
"Und die Erkennung von mikrobieller RNA ist ein Signal fürs Immunsystem, das dazu führt, dass sehr starke Antworten aktiviert werden.",True,
"Den müssen Sie bei den RNA-Impfstoffen nicht dazu mischen, weil gleichzeitig die Immunzelle durch die Struktur der RNA aktiviert wird.",True,
"Und das heißt aber, wenn ich sie jetzt richtig verstanden habe, dass vom Nebenwirkungsprofil zumindest bei den RNA-Impfstoffen zu hoffen ist, dass die bei älteren Menschen eher geringer ausfallen.",True,
"Sie wird hier mehrfach gestellt, ob man als Einzelperson eigentlich künftig, wenn mehrere Impfstoffe zugelassen wären, Einfluss nehmen kann, welchen Impfstoff ich bekomme.",False,
Ich weiß selbst die Frage 100 Prozent korrekt verstanden habe.,False,
"Die Frage, ob auch effektiv Transmission durch die Impfung verhindert werden kann, ist ja noch nicht hundertprozentig geklärt.",True,
"Die generelle Frage, ob die Übertragung des Virus durch eine Impfung reduziert wird: Ich denke ja, aber das muss jetzt eben noch systematisch untersucht werden, weil bei der Biontech/Pfizer-Studie eben nicht regelmäßig abgestrichen wurde und geschaut wurde, wieviel asymptomatische Infektionen es gab, die ja potenziell wieder hätten übertragen können.",True,
"Aber auch eine generelle Hintergrundinzidenz, die höher ist, unabhängig von der Impfung.",False,
"Wie genau wiegt man denn das Risiko eigentlich ab zwischen Impfen von jemanden, der vielleicht ein sehr niedriges Risiko hat, an COVID zu erkranken und zu sterben, und im Gegen-satz zu: Wir könnten dadurch Nebenwirkungen auslösen.",True,
"Sie sprechen da einen wichtigen Punkt an, denn diese Ereignisse scheinen ja wenig mit den klassischen Risikofaktoren für Thrombose zu tun zu haben, mit denen Frauenärzte ja sehr gut vertraut sind, zum Beispiel bei der Pillenverordnung oder auch bei der Verordnung der Hormonsubstitution, dann in der Peri- und Postmenopause oder auch wenn es darum geht, dass Frauen nach Tumorerkrankungen eine adjuvante, endokrine Therapie bekommen, die dann auch mit einem erhöhten Throm-boserisiko verbunden sein kann.",True,
"Aber es ist gut, dass sie sie hatten und hoffentlich werden die weiterge-führt.",False,
"Bei wie vielen Fällen konnten Sie jetzt schon zum Beispiel diese spezifischen Antikörper nachweisen, wie viele Fälle liegen Ihnen der zugrunde, wie ist die Evidenzlage da gerade?",False,
"Ja, da muss man mehr die Immunologen fragen.",False,
"Wie genau sind Sie zu dieser Entscheidung gelangt, ist das ausreichend gedeckt?",False,
"Die eine Frage ist: Gibt's eine Plausibilität, dass praktisch die Kombination von zwei Impfstoffen, die wohlgemerkt gegen das gleiche Zielantigen am Ende gerichtet sind, dass die nicht funktionieren kann.",False,
"Ich würde es eher umgekehrt sehen: Wenn eben aufgrund einer bestehenden Vorerkrankun-gen ein hohes Risiko besteht – ein höheres, als das typisch altersentsprechende Risiko besteht schwer zu erkranken oder sogar daran zu versterben –, dann könnte das eben im Sinne der Nutzen-Risikoabwägung sein, dann auch mit dem AstraZeneca-Impfstoff zu impfen, wenn jetzt grad ein mRNA-Impfstoffen nicht zur Verfügung ist.",True,
"Wenn jemand selbst zum Beispiel eine schwere Lungenerkrankungen hat oder einen Zustand nach Organtransplantation oder andere Vorerkrankungen, die eben mit einem sehr hohen Risiko einhergehen, dass man im Falle der COVID-19-Infektion auch schwer erkrankt und hospitalisiert werden muss, vielleicht auf die In-tensivstation muss, beatmet werden muss, dann kann natürlich die Nutzen-Risikoabwägung zugunsten auch des AstraZeneca-Impfstoffes ausfallen – auch bei den jüngeren Menschen.",True,
"März entschieden worden ist, das kann man mit Sicherheit auch rechtfertigen.",False,
"Herr Klamroth, hier kommen nochmal Fragen zum Auslöser quasi zum Antigen.",False,
"Wir haben es gerade schon kurz angeschnitten, aber vielleicht können Sie das nochmal einmal kurz zusam-menfassen.",False,
"Also, ist es eher keine Über-reaktion zu erwarten, sondern es eher so, dass man nach Impfungen unter Umständen sogar testet, ob eine ausreichende Immunantwort stattgefunden hat.",True,
"Es geht nochmal um den altersabhängigen Nenner der Geimpften, also die altersstratifizierten Daten, die Sie vorhin erwähnt hatten, die Sie vorliegen haben.",False,
"Wie si-cher ist sich denn die STIKO, dass das Risiko für diese Komplikation wirklich bis 59 höher ist als bei Älteren?",False,
"Und der zweite ist – das sieht man ganz klar und das gilt ebenso auch für die mRNA-Impfstoffe –, wenn sie erst mal über 50 sind, nimmt die Reaktion – also das, was man als systemische und lokale Nebenwir-kung dann verspürt –, sehr deutlich ab.",True,
"Sie hatten gesagt, dass sie länger bleiben können.",False,
"Ich bedanke mich recht herzlich bei Ihnen, Herr Klamroth.",False,
"Und da ist der Stand bis dato, dass es bei den beiden mRNA-Impfstoffen keine Signalerhöhung in dieser Form gibt, wie man das jetzt bei AstraZeneca gesehen hat.",True,
"Durch schnelles, deutliches Absenken der Infektionszahlen, Einrichtung sogenannter grüner Zonen und schließlich rigoroses Ausbruchsmanagement bei sporadischem Auftreten neuer Fälle.",False,
"Vielleicht können Sie kurz erklären, was treibt Sie an, was treibt Sie um, wo wollen Sie hin und wie kann das gelingen?",False,
"Insbesondere, das hat Herr Hallek ja auch schon gesagt, weil ja neue Virusvarianten kommen.",False,
"Wir haben vor zwei 5 Wochen schon mal gefragt, wie sieht es denn mit einem Stufenplan aus, mit der Einheitlichkeit der Maßnahmen und da kann man sehr deutlich sehen, dass sich fast 80 Prozent der Leute ein einheitliches System wünschen, nach denen verschärft und gelockert wird.",True,
"Und der hat gesagt, am motivierendsten für ein Einhalten einer Strafe ist nicht die Höhe oder die die Härte, sondern die Chance, dass man erwischt wird.",True,
"Und die, die der Regierung nicht vertrauen, bei denen hilft mehr bessere Regierungskommunikation nicht.",True,
Dann sind wir auch schon bei der Schlussfrage an Herrn Hallek und Herrn Brockmann.,False,
"Herr Hallek, fassen Sie doch nochmal ganz kurz zusammen, was ist Ihre Hauptidee, was ist das Narrativ, wo Sie glauben, auch als unabhängige, forschende Mediziner, viele verschiedene interdisziplinäre Experten, dass da was geht, und das klappen könnte mit NO-COVID.",False,
"Aber es geht darum, mit einem neuen Ziel, einem neuen Narrativ die exzellenten Ressourcen unserer demokratischen Gesellschaft gegen das Virus zu mobilisieren und nicht das gesamte Land in Ergebenheit auf den nächsten Lockdown starren zu lassen, und damit das gesamte bürgerliche Leben, die gesamten wirtschaftliche Freiheiten, den gesamten Kunstbetrieb, die gesamte Gastronomie, die gesamte Hotellerie und viele andere Bereiche zum Erliegen zu bringen, der Wirtschaft zu schaden.",True,
"Für mRNA-Impfstoffe geht man von sechs Wochen aus, dass ein neuer Impfstoff generiert werden kann.",True,
"An welchen Konzepten arbeiten Sie denn derzeit, um wirksame und sichere Coronavirus Impfstoffe der nächsten Generation zu entwickeln auch in Hinblick auf zu erwartende Escape Mutationen.",False,
"Wir haben auf der einen Seite ja die Variante B.1.1.7, die UK-Variante, und da ist die Hauptproblematik gar nicht, dass diese Variante schlechter durch die existierenden Impfstoffe neutralisiert wird, sondern da ist die Hauptproblematik, dass sie scheinbar eine höhere Infektiosität hat und im Hintergrund trotz Lockdown weiter zunehmend ist.",True,
"Und die wichtigste Maßnahme ist, die Lockdownmaßnahmen nochmal zu präzisieren und zu schauen, wie wir zusätzliche Infektionen reduzieren können bis ausreichend Personen geimpft sind.",True,
"Dann gibt es Varianten wie zum Beispiel die südafrikanische Variante, bei denen scheinbar einige Impfstoffe nicht mehr ausreichend Schutz bieten oder einen geringeren Schutz bieten.",True,
Trotzdem ist die Hauptmessage: Impfen mit den bisherigen Impfstoffen ist immer noch besser als nicht impfen.,True,
"Genaueres kann ich nicht sagen, da bin ich zur Vertraulichkeit verpflichtet, aber ich will ein Signal geben, dass hier sicherlich daran gedacht ist, sich nicht nur auf eine Studie im Vereinigten Königreich zu verlassen, sondern es muss auch geguckt werden, kann man zum Beispiel mRNA-Impfstoffe mit bestimmten Vektorimpfstoffen kombinieren und so weiter.",True,
"Herr Cichutek, die Frage geht vor allem an Sie.",False,
"Und ich glaube nicht bei dem Verfahren, das ich beschrieben habe, dass das Verfahren jetzt besondere Bottlenecks enthält, sondern sehr angebracht ist, eine sehr schnelle Verfahrensweise vorschlägt und das wahrscheinlich bei den Entscheidungen von nationalen Arzneimittelbehörden in Europa nicht viel anders ausfallen würde.",True,
"Gibt es Hinweise darauf, dass man bei den mRNA-Impfstoffen nicht unendlich mit weiteren angepassten mRNA-Impfstoffen quasi drauf impfen kann, also dass man immer wieder nochmal eine Impfung gibt, die ein bisschen angepasst ist an neue Varianten.",False,
"Es gibt keinen Hinweis darauf, dass mRNA-Impfstoffe nicht zum Boost eines anderen Impfstoffs genutzt werden können.",True,
"Also mRNA-Impfstoffe haben einen wesentlichen Vorteil, dass sie nämlich das Protein oder das Antigen selbst nicht sichtbar ist und man einen Lipidnanopartikel appliziert, welches dann erst in der Zelle das Antigen macht.",True,
"Aber wir können trotzdem durch intelligente Konzepte sicherlich Impfstoffe entwickeln, die vor einer schweren Krankheit durch andere Viren schützen.",True,
"Ich will nur sagen, was wir daraus lernen können ist, dass bei den Grippe-Impfstoffen das, was im Moment vielleicht am erfolgversprechendsten ist, weiterhin auf Antikörper setzt und versucht, bei den in den Impfstoffen verwendeten Antigenen neue Gebiete aufzutun, die normalerweise nicht von den Antikörpern erreicht werden.",True,
"Wir haben selber Daten zu einem MERS-Impfstoff und konnten sehr gut sehen, dass auch bei der dritten Impfung sehr hohe Antikörperantworten gegeben werden konnten.",True,
"Wir wissen ja, dass wir PEG (Polyethylenglycol; Anm.",False,
"Vielen Dank, dass Sie sich die Zeit genommen haben, hier die Fragen zu beantworten.",False,
"Können Sie für den Impfstoff von BioNTech/ Pfizer empfehlen, wegen der Impfstoff- Knappheit nur eine Dosis zu verimpfen, respektive das Intervall für die zweite Dosis zu 14 verlängern?",False,
"Aber ich kann sagen, dass wir man strikt doch im Moment den Zulassungsvorgaben folgen sollte.",False,
"AstraZeneca hat in der Zulassungsstudie auch Daten gezeigt, wo ungefähr der Schutz vor asymptomatischer Infektion liegen könnte und das ist wirklich ein sehr hoffnungsvolles Zeichen.",True,
"Wissen Sie, wie weit da Impfstoffe schon in der Erprobung sind und wenn das funktioniert, ist das nicht vielleicht sogar effektiver und leichter anwendbar?",False,
"Die Risiken derzeit mit den Impfstoffen bei der Anwendung von mehreren Millionen Impfungen allein in Deutschland sind sehr, sehr gering und am Rande dessen, was wir als Hintergrundinzidenzen haben, wenn es um schwerwiegende Nebenwirkungsmeldungen geht.",True,
Ansonsten sind die Impfstoffe unbedenklich von sehr guter Sicherheit und Effektivität.,True,
"Wobei man sagen muss, dass das oft relativ schwierig festzustellen ist, weil das sehr damit zusammenhängt, wann die Patienten wirklich getestet wurden, und man in einer Ausbruchsituation wahrscheinlich sehr viel früher testet als in der Situation, wo man jetzt keinen Ausbruch hat.",True,
"Und wir haben zwar jetzt den Impfstoff, das ist natürlich auch total gut, und ich glaube auch, dass die Impfstoffe jetzt nicht unwirksam sind durch diese Variante.",True,
"Frau Eckerle, wie beurteilen Sie die Evidenz zu der vermehrten Übertragung bei Kindern.",False,
"Und gleichzeitig ist es so, dass UK ganz gute Studien macht, dass die nämlich systematisch Kinder untersuchen und nicht nur Meldedaten sammeln, die nach bestimmten Testkriterien erhoben werden, wo die Kinder oft auch untererfasst werden, weil die auch seltener krank werden, weniger schwer krank werden.",True,
"Die Vorstellung, dass Kinder das Virus nicht bekommen und die Schulen keine Rolle spielen, ist im Großteil der Wissenschaft im Moment ad acta gelegt.",True,
"Das heißt, das Problem mit einer neuen Variante ist ja nicht, dass sich die reinfizieren, die es schon mal hatten, sondern das Problem ist, dass die Population an empfänglichen Personen immer noch so groß ist, dass wir diese Effekte von einem Immun-Escape [nicht haben], selbst wenn er da wäre, würde er keine große Rolle spielen.",True,
Müssten diese Maßnahmen gerade jetzt nicht stärker diskutiert werden und warum ist das aus Ihrer Sicht unter Umständen nicht passiert?,False,
Und welche Rolle spielen dabei zum Beispiel Versuche an Rhesusaffen oder anderen mit Blick auf die Aussagekraft für den Menschen.,False,
"Im Kontext SARS-CoV-2 heißt das: Sind lebensmittelliefernde Tiere empfänglich für diesen Erreger und werden sie krank, hat es einen Einfluss auf die Tiergesundheit?",False,
